lif;ref
2x;-g
38;-43
-f6;-55
75;dn
-gm;-1h
8u;-gk
25;-3o
3h;-8
7l;1v
cr;-ar
fi;9c
-1f;-3r
-4e;-d9
-44;ao
5q;6q
dt;-98
-6y;-10
-kq;-3b
6n;-3b
-6p;-3u
-46;b
fh;-6k
-t;aq
-62;cb
-6b;-9u
-nn;-e9
2i;4e
aq;7t
1q;9e
5r;-17
4t;-dd
3q;-j8
51;1p
-7l;2s
ps;8c
-8m;br
4c;1h
-19;41
-84;lh
-bm;-1l
-gh;gs
6j;-10
-m;62
am;1x
2p;-as
-2q;d
47;-2f
dy;q
-26;2t
-3x;-a0
-5s;-4
3w;-15
e9;7
4l;w
-14;-6g
-k;-1i
57;9z
4w;-4z
-59;c2
-bp;56
3k;-30
46;-1r
7o;-o
ka;8s
-91;-6h
5c;fr
-5w;1k
67;dn
-hy;bn
7s;r
aa;f
-9e;fp
57;-2x
ck;ak
ar;dl
3v;-5e
-bw;6h
-3b;k7
x;-4o
-6;-g8
4y;-cp
mh;8
33;-2r
88;-3w
-5z;8a
1l;-98
-cr;ci
e;18
-46;56
a;cw
-99;-3n
4h;hr
bb;fr
-ei;-c2
t;-29
br;98
8s;-dp
-ap;2x
90;-6f
-bj;-lq
-e6;8
-5d;-3b
-88;15
m0;-dk
f3;-hd
-10;-5b
-av;4c
-1g;-r
-a6;c9
5q;-2s
-a;-fb
3d;6q
a;-6q
-gx;-57
-6k;75
-70;t
-4k;3c
-f;4m
5x;-ld
-7j;-83
a4;-5r
-c2;-cd
-5n;9d
2g;bo
-6t;-2q
57;2c
3n;-c
58;2z
-1i;1p
53;-e3
-3z;-bn
cd;-4m
7w;31
47;2i
2s;-1k
-4h;-8z
5k;6e
bn;4y
a0;-2p
3;3a
-27;dc
9a;-1k
-1x;z
-6m;7e
-ch;3o
6e;-33
-5e;32
-8k;-20
-ci;d
-8;2d
-ao;a6
-bg;b1
44;-hw
-7h;-1h
-bs;52
-4m;24
-fc;-2g
7c;9x
-3l;7l
36;fl
-8;9b
-6g;32
5f;1g
3b;72
-3c;36
-e8;-80
m8;-jx
60;2z
-4t;8c
8o;my
-ba;6n
7q;df
-br;5a
-50;-3b
-6y;5d
d;5g
-k;b9
-5d;-40
-25;-cp
-3n;-ip
-4s;1p
-v;-8
7b;k8
x;t8
-au;5u
4j;1j
-1w;mb
-8z;-6
8y;do
-61;-da
32;-7e
-ke;a5
-7g;-50
5y;-du
-ah;2u
24;2l
-b;-g0
y;n
ff;-b8
57;-1r
3p;fp
4y;-b1
-g5;68
5u;b1
-5g;cp
-3r;57
-67;eh
aw;3m
-4f;am
6n;8c
-ma;ff
-ls;8
-c6;-54
2p;-bz
-ex;9g
-hg;-6d
-57;4o
v;-9f
-5m;-6p
-3q;-9l
-38;-ft
-6q;-6k
-6a;-bz
-3m;8v
3;1h
-e9;3
-2e;7y
52;-5b
bi;-at
ep;-2l
2l;-1m
2u;-3h
-7p;f6
9x;-av
31;-d2
34;j
-v;-9
53;1m
-ac;az
ay;3h
2c;-22
14;2f
-72;cv
6d;cj
-kz;6f
-9;1g
16;79
-d3;ck
88;-2t
-bz;6s
33;6h
4j;-2r
if;79
y;-fi
7m;-59
-57;-9l
4r;9k
-6k;-3g
-1f;d7
-i;-6b
-9b;2g
68;14
6k;9d
p1;-4o
mv;-fh
-cf;16
-bz;5g
28;-fg
-4o;ct
4g;9a
-8v;-65
fp;-1z
-36;63
-44;-21
47;1c
39;1p
6z;-t
-84;-9c
-gt;2p
-71;-7j
3p;-6q
bu;-ak
-8t;-ir
w;-e9
8m;2a
-1u;gn
-1f;-a5
15;-12
ah;-1p
-4i;-8o
-75;63
-7s;-a2
36;73
4y;3s
-kg;4
5h;eu
70;1y
-95;-16
-w;-3r
1z;cf
-61;-3t
ca;2w
-q;1w
-7s;-24
-4p;5y
-42;4y
-5a;5z
jk;3g
ha;-59
4t;-r
1m;3l
-id;-79
-i6;p
-79;4g
-b6;de
bc;-4i
-9w;-4c
-35;-2f
-k7;2
7h;-46
-8f;-b3
-66;b0
-8q;-5g
-3r;6t
-bp;j
-6v;-7b
-bl;-67
4v;-6d
-p3;b8
-g;6q
-18;7q
-f;-5m
-bx;-3k
4l;5l
-37;-9k
-bk;-3r
65;hu
5x;fh
-4a;f9
21;-al
-h5;-38
1q;6y
-38;2r
-fq;-3n
6o;-45
2t;2v
1i;19
-37;db
4a;12
-1l;-21
-eu;3w
24;9k
-91;-aw
8a;-cl
3i;-79
8b;-9m
-3k;12
-s;-eu
dh;-8w
-gk;cf
8j;3z
-9o;6l
54;4h
6g;5n
-5d;-9s
6k;c5
-h8;-25
-c;49
5p;-1y
hr;-1o
-95;6y
-2u;-dp
-38;a2
-d;6i
4g;bp
4a;2i
23;2o
-5v;5r
-ea;5e
-1o;-3y
7d;-no
-id;-7n
7t;21
-2q;-9m
ab;-42
-72;-2q
-8z;-f3
-2t;-5n
6s;-h8
-8;-5r
41;3y
-9z;-bc
4w;-9r
8d;-4s
-b1;45
-ai;7f
-8p;-bj
-47;-ay
8h;-2o
-22;-83
-hz;-86
hz;-3u
-c1;-b2
74;-8r
bu;5v
z;-2c
-3q;9i
-24;-3c
-io;-6
-4f;-ct
-7o;-4s
p;bz
7m;-92
-76;9
9p;3a
6p;k
-x;6a
bj;15
-2i;4c
1i;-4c
5a;-8f
3b;ds
co;8a
-37;2l
-ac;40
1h;-46
2f;-m5
1q;15
3z;-eh
-ed;-3e
-6k;am
-11;bd
-p;7u
-85;-2c
-49;-j
-19;4t
6o;-3s
-1;8f
ep;8o
-5y;-6
-99;da
k2;p
-gb;-2n
60;-4i
-3l;-k
-2d;-4l
-b0;-4g
-25;w
48;dw
f0;-d1
-l;-66
-8t;lv
-hw;ag
5z;-6m
-99;6z
-av;4m
-2g;-ep
4w;-7q
-1z;c1
ba;-cs
-4v;-4y
-5d;-56
43;8y
-d0;-ik
7n;-3k
-5;q
b0;b6
8c;lp
-aa;74
-8r;-4t
-4u;5j
-f3;-ct
d4;5n
-r3;4e
3w;-96
3z;-2x
-4e;dq
-6r;-az
-2c;-3z
4i;es
7j;-cn
-gy;2h
-1h;-cx
88;b6
-bv;4f
3m;7v
-1d;3v
c2;-17
-em;-h1
jm;9u
2p;9g
-9z;8g
9g;-7
-1q;gj
-b7;d1
v;-3p
-51;-7f
34;55
-1;5x
-a4;2i
8j;a8
-fh;db
2k;3o
4p;-5s
12;89
-2g;-3a
-bh;-2j
23;p
