lif;ref
-ed;9e
-3q;-a4
-b9;pq
cp;37
81;-l4
-1z;-de
-3s;-2r
17;-b5
25;-en
6e;-37
2l;-6s
-3f;7n
-47;ez
8w;18
2l;17
-74;3x
-3l;es
ed;-6r
-9k;3a
3b;-fm
-en;-59
-70;-2x
d;bn
cd;4d
-4r;-1
-br;b2
-13;ip
50;-1z
-a1;1s
-p;bc
-3u;3j
-p6;-7b
r;-76
-5n;6l
-bs;-8n
-4h;45
-br;47
8m;-7r
-gq;42
-5;-49
-5e;cb
pr;d7
-ip;-23
-h;-7f
-1i;2d
-b2;5n
-2m;-6y
-cr;-5m
-74;-dl
-3x;-cm
-gz;1y
-7p;-40
36;-4x
-7j;-4z
2c;-2l
-et;3n
-1m;x
im;-g7
-bt;-2r
-7o;pw
-9p;2d
1m;4c
3j;5h
4n;g
7c;-gu
4o;5y
-bb;-13
-3k;83
v;-bo
59;-19
-53;-2x
-7r;-7i
22;-hr
-4y;c5
-iz;-an
gg;2l
-6u;7v
-b8;-3l
-i;22
-3c;-gz
-ns;h1
-61;-4m
-2h;41
-5d;-4w
-7z;-a1
40;-e1
62;q
36;-1x
-l;8t
2q;-4x
26;-fv
-iy;3m
-jg;81
-fj;6d
co;39
5d;9b
-aq;k
-60;be
-c7;-ab
-aw;-3p
12;-hz
-1s;-2f
-3o;81
3b;-26
-jo;-87
-3z;-4p
18;74
6x;-6f
-27;79
z;-m
-47;e6
fm;4t
-9h;c3
-8x;-k5
2c;-x
-m5;-af
-a3;-co
-8u;-6w
df;-d
-4h;-21
ax;-6t
-7q;dl
8r;lm
-1b;-1n
fr;-gl
-h1;52
64;-bb
-ah;-o
-ap;4n
-aw;-27
-77;-3j
-k;5k
-22;-1d
2r;dx
-81;-p
f4;dt
-1p;bb
1o;-j
5x;-ld
4o;ee
-2b;-e7
3q;1b
-7p;-1s
-34;4g
c8;b5
-3x;-5k
-7k;3j
96;z
af;-3e
-3u;6h
o;-47
20;-4t
8g;-e
px;1o
bs;2h
-f1;8j
8q;al
-95;-1d
8n;-4g
in;d1
-fz;7d
-5p;6d
-1s;-k
dk;-9i
13;-99
-5s;1x
-64;3s
8g;3g
-f3;-a
91;57
ae;d1
-ec;-43
-by;53
7b;-ew
-t;8f
-22;-w
au;4w
0;-5g
-hl;fs
3d;i
56;o
3r;et
2i;15
-1m;9i
-2o;5j
-6k;2p
7z;9u
ad;-2v
25;2
ba;-8g
-co;-4x
-23;-7c
7t;15
8m;-2k
6d;46
-37;ai
6t;79
5g;-5k
-5;82
-12;-10
-h;1k
m;59
g;32
ag;-fn
-4b;-fi
-aj;dd
-au;-d2
-be;x
ff;-8h
1m;4v
b7;3o
3d;-2l
-e6;-53
2q;-bp
-gz;6l
1q;-2s
2b;3a
y;f
2p;-4e
-5i;-am
-38;-6p
q;-k
-6u;79
x;-49
6k;-3s
3w;-1c
t;-67
9i;-d0
-5a;-2z
-6n;-e
-54;-1a
55;-6t
c4;-t
-2m;-5q
-7f;-5b
-2t;48
-7w;-70
-86;-3z
5t;cg
v;-8q
e1;4x
-gl;-lg
-26;-i1
6w;-es
-2d;-52
n;-ao
-m;-co
-8z;c0
-p;-b5
bx;6v
-63;-j2
-1d;-am
a4;-cx
cf;-8b
ge;-3i
-1s;cr
-83;-bs
-gf;-l
35;16
-74;4l
-1f;2p
2d;-9z
-76;-6z
-1p;1v
-70;-3i
-2k;-85
-8;-ad
-t;-1j
-4y;-2f
8y;-8b
2o;1w
c5;26
-1o;-30
4y;-8h
1j;-3x
-y;-ub
-w;73
